split_A,image_A,split_B,image_B,SSIM
train,04940.jpg,test,00924.jpg,0.9863797051934263
train,04940.jpg,test,02160.jpg,0.9863797051934263
train,04880.jpg,test,02151.jpg,0.9863776862510321
train,04880.jpg,test,00916.jpg,0.9863776862510321
train,04928.jpg,test,02159.jpg,0.9862590835500239
train,04928.jpg,test,00923.jpg,0.9862590835500239
train,04944.jpg,test,02163.jpg,0.9862456034175743
train,01144.jpg,test,01523.jpg,0.9862127179979749
train,01144.jpg,test,00428.jpg,0.9862127179979749
train,05074.jpg,test,02183.jpg,0.9862085721022247
train,04939.jpg,test,02161.jpg,0.986202337347004
train,04939.jpg,test,00925.jpg,0.986202337347004
train,03078.jpg,test,01879.jpg,0.9861998990755065
train,01024.jpg,test,01500.jpg,0.9861871195587693
train,04943.jpg,test,00924.jpg,0.9861292061531661
train,04943.jpg,test,02160.jpg,0.9861292061531661
train,04927.jpg,test,02160.jpg,0.9860868017485497
train,04927.jpg,test,00924.jpg,0.9860868017485497
train,05180.jpg,test,02200.jpg,0.9860410926039372
train,05180.jpg,test,00954.jpg,0.9860410926039372
train,05001.jpg,test,02171.jpg,0.9860240501888047
train,05001.jpg,test,00932.jpg,0.9860240501888047
train,01018.jpg,test,01500.jpg,0.9859906426842738
train,01410.jpg,test,01572.jpg,0.9859744335830984
train,01410.jpg,test,00464.jpg,0.9859744335830984
train,01413.jpg,test,00466.jpg,0.9858717633919853
train,01413.jpg,test,01574.jpg,0.9858717633919853
train,05096.jpg,test,00943.jpg,0.985863276794225
train,05096.jpg,test,02187.jpg,0.985863276794225
train,00972.jpg,test,01490.jpg,0.985839750534386
train,00972.jpg,test,00395.jpg,0.985839750534386
train,04943.jpg,test,02163.jpg,0.9858071447130683
train,05099.jpg,test,00944.jpg,0.9857671374913437
train,05099.jpg,test,02188.jpg,0.9857671374913437
train,05100.jpg,test,00943.jpg,0.985766404779711
train,05100.jpg,test,02187.jpg,0.985766404779711
train,04950.jpg,test,02163.jpg,0.9857020127743719
train,04934.jpg,test,00925.jpg,0.9856987962328663
train,04934.jpg,test,02161.jpg,0.9856987962328663
train,01204.jpg,test,01535.jpg,0.9856885919229942
train,04943.jpg,test,00926.jpg,0.9856664324543898
train,04943.jpg,test,02162.jpg,0.9856664324543898
train,00930.jpg,test,01481.jpg,0.9856067858478529
train,04939.jpg,test,00924.jpg,0.9855874140406103
train,04939.jpg,test,02160.jpg,0.9855874140406103
train,05078.jpg,test,00942.jpg,0.9855860276139924
train,05078.jpg,test,02185.jpg,0.9855860276139924
train,00991.jpg,test,01493.jpg,0.9855783403260925
train,00991.jpg,test,00397.jpg,0.9855783403260925
train,04924.jpg,test,00923.jpg,0.9855689961232811
train,04924.jpg,test,02159.jpg,0.9855689961232811
train,01414.jpg,test,01574.jpg,0.9855569758152667
train,01414.jpg,test,00466.jpg,0.9855569758152667
train,05087.jpg,test,02186.jpg,0.9855462910917816
train,01062.jpg,test,00404.jpg,0.9854750031412165
train,01062.jpg,test,01503.jpg,0.9854750031412165
train,01195.jpg,test,01531.jpg,0.9854712120876393
train,01195.jpg,test,00434.jpg,0.9854712120876393
train,00375.jpg,test,01021.jpg,0.9854541896161829
train,05136.jpg,test,02192.jpg,0.9854385929529869
train,05136.jpg,test,00948.jpg,0.9854385929529869
train,04949.jpg,test,00925.jpg,0.9854362615921621
train,04949.jpg,test,02161.jpg,0.9854362615921621
train,01405.jpg,test,00465.jpg,0.9854119893521494
train,01405.jpg,test,01573.jpg,0.9854119893521494
train,00968.jpg,test,01490.jpg,0.9853855234895872
train,00968.jpg,test,00395.jpg,0.9853855234895872
train,05076.jpg,test,02184.jpg,0.9853467747418573
train,04984.jpg,test,02169.jpg,0.9853383092059828
train,01200.jpg,test,01533.jpg,0.9853165929597294
train,04851.jpg,test,00914.jpg,0.9852229105284697
train,04851.jpg,test,02149.jpg,0.9852229105284697
train,01012.jpg,test,00403.jpg,0.9851950861197469
train,01012.jpg,test,01501.jpg,0.9851950861197469
train,04907.jpg,test,02156.jpg,0.9851918797057738
train,04907.jpg,test,00920.jpg,0.9851918797057738
train,04944.jpg,test,00923.jpg,0.9851741056772698
train,04944.jpg,test,02159.jpg,0.9851741056772698
train,01093.jpg,test,01515.jpg,0.985156236614965
train,00969.jpg,test,00394.jpg,0.9851112788188037
train,00969.jpg,test,01489.jpg,0.9851112788188037
train,04900.jpg,test,02155.jpg,0.985085262955749
train,04927.jpg,test,02161.jpg,0.9850686414671836
train,04927.jpg,test,00925.jpg,0.9850686414671836
train,05076.jpg,test,02183.jpg,0.985068126449285
train,04936.jpg,test,02163.jpg,0.9850546370522891
train,05095.jpg,test,00943.jpg,0.985047989041114
train,05095.jpg,test,02187.jpg,0.985047989041114
train,00931.jpg,test,01480.jpg,0.9850134118715713
train,01123.jpg,test,01520.jpg,0.9849911002096728
train,05031.jpg,test,00936.jpg,0.9849900396804913
train,05031.jpg,test,02176.jpg,0.9849900396804913
train,01141.jpg,test,00426.jpg,0.9849763762502848
train,01141.jpg,test,01521.jpg,0.9849763762502848
train,04940.jpg,test,02159.jpg,0.9849430716104509
train,04940.jpg,test,00923.jpg,0.9849430716104509
train,04930.jpg,test,02160.jpg,0.9849196957931399
train,04930.jpg,test,00924.jpg,0.9849196957931399
train,04935.jpg,test,02163.jpg,0.9849102578949215
train,04923.jpg,test,02159.jpg,0.9849060096433918
train,04923.jpg,test,00923.jpg,0.9849060096433918
