image,GT,Predictions,TP,FP,FN,total_errors
00482.jpg,1,1,1,0,0,0
00483.jpg,1,1,1,0,0,0
00484.jpg,1,1,1,0,0,0
00485.jpg,1,1,1,0,0,0
00486.jpg,1,1,1,0,0,0
00487.jpg,1,1,1,0,0,0
00488.jpg,1,1,1,0,0,0
00489.jpg,1,1,1,0,0,0
00490.jpg,1,1,1,0,0,0
00491.jpg,1,1,1,0,0,0
00492.jpg,1,1,1,0,0,0
00493.jpg,1,1,1,0,0,0
00495.jpg,1,1,1,0,0,0
00496.jpg,1,1,1,0,0,0
00497.jpg,1,1,1,0,0,0
00498.jpg,1,1,1,0,0,0
00499.jpg,1,1,1,0,0,0
00500.jpg,1,1,1,0,0,0
00501.jpg,1,1,1,0,0,0
00502.jpg,1,1,1,0,0,0
00503.jpg,1,1,1,0,0,0
00504.jpg,1,1,1,0,0,0
00505.jpg,1,1,1,0,0,0
00506.jpg,1,1,1,0,0,0
00507.jpg,1,1,1,0,0,0
00508.jpg,1,1,1,0,0,0
00509.jpg,1,1,1,0,0,0
00510.jpg,1,1,1,0,0,0
00511.jpg,1,1,1,0,0,0
00512.jpg,1,1,1,0,0,0
00513.jpg,1,1,1,0,0,0
00514.jpg,1,1,1,0,0,0
00515.jpg,1,1,1,0,0,0
00516.jpg,1,1,1,0,0,0
00517.jpg,1,1,1,0,0,0
00518.jpg,1,1,1,0,0,0
00519.jpg,1,1,1,0,0,0
00520.jpg,1,1,1,0,0,0
00521.jpg,1,1,1,0,0,0
00522.jpg,1,1,1,0,0,0
00523.jpg,1,1,1,0,0,0
00524.jpg,1,1,1,0,0,0
00525.jpg,1,1,1,0,0,0
00526.jpg,1,1,1,0,0,0
00527.jpg,1,1,1,0,0,0
00528.jpg,1,1,1,0,0,0
00529.jpg,1,1,1,0,0,0
00530.jpg,1,1,1,0,0,0
00531.jpg,1,1,1,0,0,0
00532.jpg,1,1,1,0,0,0
00533.jpg,1,1,1,0,0,0
00534.jpg,1,1,1,0,0,0
00535.jpg,1,1,1,0,0,0
00536.jpg,1,1,1,0,0,0
00537.jpg,1,1,1,0,0,0
00538.jpg,1,1,1,0,0,0
00539.jpg,1,1,1,0,0,0
00540.jpg,1,1,1,0,0,0
00541.jpg,1,1,1,0,0,0
